Clarendon,clarendon,2074325
Boddington,boddington,2076246
Birdwood,birdwood,2076528
Adelaide,adelaide,2078025
Warnbro,warnbro,2079183
Larrakeyah,larrakeyah,2079691
Wilton,wilton,2143473
Whittlesea,whittlesea,2143747
Werribee,werribee,2144095
Wee Waa,wee-waa,2144220
Warrnambool,warrnambool,2144528
Victoria Point,victoria-point,2145214
Tangambalanga,tangambalanga,2147476
Tallebudgera,tallebudgera,2147558
Strathfieldsaye,strathfieldsaye,2148086
Spotswood,spotswood,2148780
Somers,somers,2149142
Singleton,singleton,8348281
Sandgate,sandgate,2150483
Rochester,rochester,2151455
Rochedale,rochedale,2151457
Regents Park,regents-park,8349232
Red Hill South,red-hill-south,2151898
Portland,portland,2152668
Point Cook,point-cook,2152819
Picton,picton,2153259
Peak Crossing,peak-crossing,2153639
One Mile,one-mile,2154344
Nundle,nundle,2154714
Noble Park,noble-park,2155204
Napoleons,napoleons,2155802
Minto,minto,2157508
Millfield,millfield,2157655
Metung,metung,2157958
Melbourne,melbourne,2158177
Matcham,matcham,2158520
Maleny,maleny,2158983
Low Head,low-head,2159432
Lower Portland,lower-portland,2159452
Longwarry,longwarry,2159606
Lockington,lockington,2159769
Lightning Ridge,lightning-ridge,2160232
Lara,lara,2160560
Koroit,koroit,2161047
Kingscliff,kingscliff,2161335
Julatten,julatten,2162101
Howard,howard,2163017
Hoddles Creek,hoddles-creek,2163338
Fulham,fulham,8349266
Farnborough,farnborough,2166849
Evandale,evandale,8347897
Eton,eton,2167190
Emerald,emerald,2167426
Elphinstone,elphinstone,2167462
Duns Creek,duns-creek,2168076
Dorrigo,dorrigo,2168534
Don,don,2168623
Devonport,devonport,2168943
Deception Bay,deception-bay,2169220
Crookwell,crookwell,2169928
Collinsville,collinsville,2170977
Cobargo,cobargo,2171213
Chinchilla,chinchilla,2171596
Caringbah,caringbah,2172311
Cambewarra Village,cambewarra-village,2172688
Cairns,cairns,2172797
Burringbar,burringbar,2173041
Burnett Heads,burnett-heads,2173134
Blackbutt,blackbutt,8349195
Berry,berry,2176053
Bay View,bay-view,2176562
Baranduda,baranduda,2176907
Ballarat,ballarat,2177091
Balgownie,balgownie,2177113
Balaclava,balaclava,2177207
Andergrove,andergrove,2177914
Connells Point,connells-point,2206004
Tarrawanna,tarrawanna,2206103
Norman Park,norman-park,2207250
Hunters Hill,hunters-hill,2207809
Seven Mile Beach,seven-mile-beach,6621356
Freshwater,freshwater,2166083
Clayfield,clayfield,6943581
Zilzie,zilzie,6945560
Daleys Point,daleys-point,7628260
Werri Beach,werri-beach,7932144
Miami,miami,7932257
Booval,booval,7932654
Woody Point,woody-point,7932688
Rothwell,rothwell,7932691
Dodges Ferry,dodges-ferry,8219755
Jacobs Well,jacobs-well,8219779
Tannum Sands,tannum-sands,8219811
River Heads,river-heads,8219819
Saint Andrews Beach,saint-andrews-beach,8219833
Boat Harbour,boat-harbour,8310682
Ocean Shores,ocean-shores,8310752
Turrella,turrella,8347682
Peterhead,peterhead,8347713
Bossley Park,bossley-park,8347730
Croudace Bay,croudace-bay,8347777
Tiwi,tiwi,8347832
Woodroffe,woodroffe,8347864
Cherrybrook,cherrybrook,8347871
Reedy Creek,reedy-creek,8347926
Hillcrest,hillcrest,8348280
Croydon Park,croydon-park,8348019
Manifold Heights,manifold-heights,8348028
College Grove,college-grove,8348099
Princes Hill,princes-hill,8348108
Wickham,wickham,8310788
Para Hills,para-hills,8348189
Broadview,broadview,8348200
Surfside,surfside,8348222
Athol Park,athol-park,8348230
Blind Bight,blind-bight,8348265
Delahey,delahey,8348306
Wishart,wishart,8348322
Madeley,madeley,8348405
Elanora,elanora,8348464
Campsie,campsie,8348466
Carss Park,carss-park,8348470
Birrong,birrong,8348525
Huntingdale,huntingdale,8349269
Morphettville,morphettville,8348587
Alderley,alderley,8348606
Invergowrie,invergowrie,8348652
Ropes Crossing,ropes-crossing,8348740
Kedron,kedron,8348750
Coolaroo,coolaroo,8348902
Warana,warana,8348953
Widgee,widgee,8348958
Yabulu,yabulu,8348975
Fulham Gardens,fulham-gardens,8348985
Maylands,maylands,2066756
Djugun,djugun,8349053
Gidgegannup,gidgegannup,8349059
Millars Well,millars-well,8349081
Pegs Creek,pegs-creek,8349095
Yokine,yokine,8349118
Braddon,braddon,8349165
Charnwood,charnwood,8349169
Deakin,deakin,8349172
Bull Creek,bull-creek,8349218
Camira,camira,8349242
Holder,holder,8349308
Kamerunga,kamerunga,8349314
Dudley Park,dudley-park,9973202
Kambalda West,kambalda-west,8539246
Pambula Beach,pambula-beach,8539252
Beecroft,beecroft,8629873
Carrolls Creek,carrolls-creek,9409900
Forest Lake,forest-lake,9957340
Westmeadows,westmeadows,9972415
Taylors Hill,taylors-hill,9972586
Allambie Heights,allambie-heights,9972597
Banksia,banksia,9972599
Berowra Heights,berowra-heights,9972604
Blackett,blackett,9972617
Lewisham,lewisham,2160277
Mays Hill,mays-hill,9972822
Merrylands West,merrylands-west,9972823
Revesby Heights,revesby-heights,9972871
Hazelwood Park,hazelwood-park,9973058
Wayville,wayville,2058823
Utakarra,utakarra,2059539
Uraidla,uraidla,2059577
Smoky Bay,smoky-bay,2061399
